명칭,전화번호,주소,개요,규모,수용 가능 인원,객실 수,객실 유형,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,식음료장
하슬라아트월드,033-644-9411,강원특별자치도 강릉시 강동면 율곡로 1441,"'하슬라아트월드'는 동해가 탁 트이게 내려다보이는 복합문화예술공원이다. 여기서 '하슬라'는 고구려/ 신라 때 불리던 강릉의 옛 이름이다. 하슬라는 조각가 박신정(朴信正/ Park Shinjung)/ 최옥영(崔玉泳/ Choi Okyung) 부부에 의해 만들어졌으며/ '하슬라아트월드'와 더불어 '하슬라뮤지엄호텔'/ '하슬라 미술관'으로 구성되어 있다. 그 중/ 하슬라뮤지엄호텔은 타일 하나하나까지 섬세하게 작업하면서 화장실 거울과 잠금장치를 없앤 다부진 신념을 표현하는 호텔만의 컨셉을 가지고 있다.<br/>하슬라뮤지엄호텔 전 객실은 모두 바다를 향하고 있는 환상적인 전망을 자랑한다. 포석정(鮑石亭)을 연상시키는 수로는 욕조까지 물을 채우는 데에도 운치를 더해준다. 예술작품으로 만든 호텔답게 프런트에서 조각적인 침대를 비롯한 전 객실 곳곳과 레스토랑에 이르는 모든 공간은 작가들이 직접 만든 예술작품으로 가득 차 있어 ""예술에 눕다""라는 말을 실감케 하였다. 또한/ 바다카페(Sea Cafe) '항상'이라는 이름처럼 이곳에 오면 낭만 가득한 바다와 하늘/ 수평선/ 일출과 일몰/ 달 뜨는 풍경을 감상할 수 있는 최고의 자연을 담은 호텔이라고 할 수 있다.",지상 3층/지하 1층,nan,24실,스탠다드/ 스마일 스위트룸/ 디럭스 스위트룸/ 이그제큐디브/ 슈페리어/ 프레지덴셜/ 그랜드 프레지덴셜,nan,불가,15:00,11:00,033-644-9411,"<a href=""http://www.haslla.kr/"" target=""_blank"" title=""새창 : 하슬라뮤지엄호텔 홈페이지로 이동"">http://www.haslla.kr</a>",nan,레스토랑/ 바다카페
리솜포레스트(제천),043-649-6000,충청북도 제천시 백운면 금봉로 365,"울창한 원시림의 아름다운 사계를 즐길 수 있는 리솜포레스트는 자연을 훼손하지 않는 방식으로 개발된 '친환경 리조트'이다. 자연지형과 식생을 그대로 보존하고 친환경 자재를 사용하여 자연과 인간이 함께 휴식을 누릴 수 있도록 설계했다. 리조트 단지 내에는 전깃줄과 자동차를 찾아볼 수 없으며 친환경 에너지 이용 및 재활용품 사용을 권장하고 있다. 리솜포레스트는 사계절 아름다운 야생화와 다람쥐/ 청설모를 만나볼 수 있는 자연과 함께하는 친환경 리조트이다.
구학산과 주론산의 품에 아늑하게 둘러싸여 있고 시야가 탁 트여 시원한 느낌을 주는 분지형 구조의 리솜포레스트는 손꼽히는 명당으로 주목받는 곳이며/ 숲에서 뿜어져 나오는 음이온과 피톤치드는 생활에 지친 몸과 마음을 건강하게 만들어 준다.",nan,nan,450실,빌라동(200실)/ 호텔동(250실-2021년 예정),nan,불가,15:00,11:00,1600-0060,"<a href=""http://www.resomforest.com"" target=""_blank"" title=""새창 : 리솜포레스트 홈페이지로 이동"">http://www.resomforest.com</a>",nan,더 그릴 720/ 들밥애/ 교촌치킨/ 부산어묵/ 선데이브리즈 브런치 카페&레스토랑/ 모요우/ 솔티맥주/ 도카롱/ 별채/ 별똥카페/ 몬도키친/ 마묵라운지/ 브이탑 가든 BBQ
오색그린야드호텔,033-670-1004,강원특별자치도 양양군 서면 대청봉길 34,단순한 숙박을 넘어 온천과 면역 증진 프로그램으로 건강한 휴식을 누릴 수 있는 호텔이다. 한국관광공사의 ‘2020 추천 웰니스 관광지’ 9곳 중 하나로 선정된 곳이기도 하다. 설악산 해발 647m 숲속에 자리한 호텔은 맑은 공기/ 설악산에서 자연 용출되는 온천/ 다양한 웰니스 프로그램이 어우러져 숙박객의 건강을 회복하는 데 중점을 둔다. 오색그린야드호텔의 핵심은 두 가지 종류의 온천이다. 설악산 오색령(한계령) 해발 650m에서 용출되는 고온의 알칼리온천/ 숙소에서 자체 개발하여 지하 470m에서 끌어올린 27℃의 탄산온천이 그것이다. 온천수에 몸을 담근 뒤 암반파동욕(약 50℃의 바위에 누워 독소를 배출하는 디톡스 온열요법)을 하면 여유로운 휴식과 더불어 면역력까지 높일 수 있다. 객실은 2인실 스탠다드부터 6인실 오색 스위트까지 네 종류다. 웰니스 패키지도 흥미롭다. 복합온천과 핫찜요가/ 건강식을 제공하는 ‘無무泊박 Healing’/ 숙박·온천·힐링 프로그램을 주축으로 하는 ‘홀론면역UP 웰니스 패키지’ 등 숙박객의 필요에 따라 다양한 패키지를 선택할 수 있다.<br>,동관(지상 5층)/ 서관(지상 5층)/ 본관(지상 5층/지하 2층),약 550명,155실,동관 55실/서관 45실/본관 55실,주차가능 (70대),콘도형 객실만 가능,15:00 ~ 22:00,11:00,033-670-1004,"<a href=""http://www.greenyardhotel.com/"" title=""새창: 오색그린야드호텔로 이동"" target=""_blank"">www.greenyardhotel.com/</a>",불가,레스토랑 / 카페
태평모텔,061-542-7000,전라남도 진도군 진도읍 남동1길 65,태평모텔은 전라남도 진도군에 위치해 있으며/ 터미널 인근에 위치하여 교통이 편리하다. 주변 관광지로는 진도향토문화회관 등이 있다.,nan,108명,30실,nan,주차 가능,불가,14:00,12:00,061-542-7000,nan,nan,nan
토비스콘도 도고,041-541-5432,충청남도 아산시 도고면 기곡로77번길 39,토비스콘도 도고는 일반 및 단체(기업/ 학생) 연수에 필요한 모든 시설과 자재를 갖추고 있으며 정성 어린 서비스로 고객들을 맞이하고 있다.,"본관 : 지하 2층 ~ 지상 10층<br />
별관 : 지하 2층 ~ 지상 9층",nan,18실,17평형/ 25평형,가능,가능,14:00,익일 12:00,041-541-5432,nan,nan,한식당/ 카페/ 단란주점
트리아 관광호텔,02-553-2471,서울특별시 강남구 테헤란로33길 16,"서울의 비즈니스 및 교통의 대표 중심지인 역삼동 테헤란로에 위치한 트리아호텔은 편안함/ 즐거움을 드리는 최고의 호텔로서 ‘High-end Lifestyle’을 지향하는 일반 고객과 실용적이면서 고품격을 원하는 비즈니스 고객에게 새로운 트렌드를 제시하는 호텔이자 도심 속 자신만의 편안한 휴식처로서 호평받고 있다.
색다른 조명과 벽체/ 벽에 걸린 팝 아트적인 회화 작품/ 다양한 디지털시스템 등 트리아 호텔은 작은 규모이지만 개성 있는 호텔로서 기존의 획일적이고 아날로그적인 일반 호텔과 달리 감각적이고 디지털적인 디자인에서 오는 볼거리와 즐길 거리가 함께 공존하는 도심 속의 엔터테인먼트 문화공간이다.
현재 유럽 등 선진국에서 새로운 트렌드로 각광받고 있는 부티크 호텔을 콘셉트로 기존의 고정관념에서 벗어난 독특한 디자인과 인테리어를 통해 사진이나 머릿속에서 그려왔던 감각적인 공간을 만날 수 있는 기회를 제공함으로써 그 어디에서도 볼 수 없었던 트리아호텔만의 독특한 부티크를 느낄 수 있으며 보다 세심한 서비스로 편안하고 즐거운 휴식을 제공 할 것이다.",nan,100명,48실,Standard/ Royal Deluxe/ Suite/ Royal Suite,주차가능,불가,15:00,12:00,02-553-2471,"<a href=""http://www.triahotel.co.kr"" target=""_blank"" title=""새창 : 트리아 관광호텔 홈페이지로 이동"">http://www.triahotel.co.kr</a>",nan,레스토랑
금수장관광호텔,062-525-2111,광주광역시 동구 무등로321번길 2,"동구 계림동에 위치한 금수장호텔은 구 도심에 위치해 있으며 도심 번화가에서 차량으로 10분 이내/ 광주역에서 도보로 7분 거리에 위치한 편리한 지리적 여건을 갖춘 실속있고 알찬 요리전문 비즈니스 호텔이다. 
또한 여행객을 위해 가장 편안한 잠자리를  제공하고 24시간 제공되는 룸서비스와 여행에 필요한 다양한 정보들은 고객의 여정을 더욱 편안하게 만들어 준다. 특히/ 호남의 일미를 자랑하는 아리랑하우스의 고급 한식 코스요리는 맛과 정갈함에서 다른 업소와 비교할 수 없는 명성을 얻고 있다.",지상 6층/지하 1층,nan,45실,슈페리어 더블/ 스탠다드 더블/온돌/트윈/ 디럭스 더블/트윈/온돌/ 온돌/코너/패밀리 스위트,주차가능,불가,15:00,11:00,062-525-2111,"<a href=""http://www.geumsoojang.co.kr/"" target=""_blank"" title=""새창 : 금수장관광호텔 홈페이지로 이동"">http://www.geumsoojang.co.kr/</a>",nan,아리랑하우스(한식당)/ 보네르(카페)
애플모텔,062-382-7540,광주광역시 서구 월드컵4강로181번길 35-1,광주 쌍촌동에 위치한 애플모텔은 넓은 주차장을 보유하고 있어 주차에 불편이 없다. 광주 최대 번화가인 상무 지구와 광주 터미널에서도 멀지 않은 곳에 위치해 있으며 주변 관광지로는 5·18 조각공원이 있다.,지상 6층,140명,35실,nan,주차 가능,불가,15:00,익일 13:00,062-382-7540,nan,nan,nan
칼튼호텔,02-2604-9229,서울특별시 강서구 화곡로 354-10(화곡동),칼튼호텔은 김포공항에서 차량으로 10분 거리에 위치하였으며 객실 요금 인하하여 부담 없는 금액으로 이용할 수 있다.,지상 8층 / 지하 2층,nan,64실,스탠다드/ 디럭스/ 프리미엄A/ 프리미엄B/ VIP,주차 가능,불가,18:00,익일 12:00,02-2604-9229,nan,nan,Coffeeshop
경포도도애견펜션,nan,강원특별자치도 강릉시 하남길 197-15,2019년 1월 전객실 인테리어를 리모델링해서 새로 오픈하여 최상의 룸을 유지하고 있다. 반려견 동반 가능한 룸까지 보유하여 최상의 서비스를 선물하겠다. 경포해변까지 차량 5분 거리에 위치한 경포도도펜션에 오셔서 힐링하시기 바란다.,nan,nan,nan,nan,nan,nan,15:00,다음날 11:00,nan,nan,nan,nan
강릉 로뎀나무 펜션,nan,강원특별자치도 강릉시 해안로621번길 12 (안현동),바다까지 1분!! 순긋해변이 바로 눈앞에!! 해돋이도 언제든지 볼 수 있는 위치에 있으며 서핑도 즐기는 1석 2조!! 2021년 리모델링으로 깔끔한 인테리어 준비완료!! 반려견과 함께 로뎀나무 펜션에서 즐거운 시간 보내시길 바란다.,nan,nan,nan,nan,nan,nan,15:00,다음날 11:00,nan,nan,nan,nan
썬랜드 호텔,064-744-1601~2,제주특별자치도 제주시 신광로 92,"푸른 바다와 천혜의 자연히 살아 숨쉬는 아름다운 섬/ 썬래드호텔은 제주 시내 중심에 위치하여 관광과 쇼핑의 메카라 불릴 수 있는 현대식으로 꾸며진 최고급 객실을 비롯한 편리하고 아름다운 호텔로서 최고의 서비스와 정성으로 고객의 편안하고 즐거운 여정을 위해 최선을 다하고 있다.
아름다운 제주 바다의 밤하늘과 정정한 자연의 푸르름이 묻어나는 남국의 정취속에서 오래도록 기억될 좋은 추억을 함께 하길 바란다.",지상 8층/지하 1층,124명,62실,온돌/ 더블/ 디럭스/ 스위트,주차가능,불가,15:00,11:00,064-744-1601~2,"<a href=""http://sunlandhotel.co.kr/"" target=""_blank"" title=""새창 : 썬랜드호텔 홈페이지로이동"">http://sunlandhotel.co.kr/</a>",nan,레스토랑
별궁모텔,055-963-7980,경상남도 함양군 함양읍 동위천1길 5,별궁모텔은 상림숲 입구에 자리하고 있으며/ 산림욕이 가능하다. 앞에는 개울이 흐르고/ 그 사이로 예쁜 다리가 놓아져 있는 편안한 안식처다. 밑에 있는 식당은 대형 숯불 갈비집으로 예약과 대형석이 가능해서 관광버스나 잔치/ 동창회 등이 가능하다. 상림숲과 1분 거리/ 용추 20분 거리/ 지리산 30분 거리 등 기타 주변 관광지가 많다.,nan,50명,25실,특실/ 일반실 트윈/ 일반실,가능,불가,13:00,익일 11:00,055-963-7980,nan,nan,식당
소노벨 비발디파크,1588-4888,강원특별자치도 홍천군 서면 한치골길 262,소노벨비발디파크는 여름 물놀이 테마파크인 오션월드와 겨울 스포츠 레저시설인 스키월드/ 골프장 및 다양한 부대시설을 갖춘 종합 엔터테인먼트 리조트다. 사시사철 빼어난  자연 속에 자리 잡고 있는 소노벨비발디파크는 여유로운 휴식과 휴양의 공간이다. 일 년 내내 다양하게 펼쳐지는 이벤트들은 소노벨비발디파크에서만 느낄 수 있는 즐거움을 관광객들에게 선사하고 있다. 골프/ 스키/ 아쿠아/ 다양한 레포츠 시설과 쇼핑몰 등을 갖춘 사계절 레저복합시설인 소노벨비발디파크에는 국내 최대 규모의 숙박시설을 보유하고 있다.,소노벨 비발디파크 A/B/C,약 1만3천명,2324실,패밀리/ 스위트/ 골드 스위트,주차 가능,가능,15:00,11:00,1588-4888,nan,nan,푸드월드
에버랜드 홈브리지,031-320-5000,경기도 용인시 처인구 포곡읍 에버랜드로 199,"에버랜드 홈브리지는 알프스 속 작은 마을을 연상시키는 우드 인테리어 특유의 고즈넉하면서도 따뜻한 분위기가 느껴지는 숙소다.
총 83실의 객실과 대강당/ 취사장/ 공동화장실/ 공동 샤워실/ 편의점 등의 편의시설을 갖추고 있다. 홈브리지의 객실은 크게 본관과 4층 규모의 신관/ 단독형 캐빈호스텔로 구성되어 있다. 
본관과 캐빈호스텔은 북미산 100% 통나무로 만들어져 자연의 향기를 느낄 수 있으며/ 학교 및 기관 단체/ 모임에 적합한 숙소로 한층 또는 건물 한동을 통째로 빌릴 수 있으며/ 단체 시설로 화장실/ 샤워장이 공동으로 쓰는 구조로 되어 있고/ 취사와 단체 식사를 할 수 있는 취사장이 별도로 마련되어 있다. 
신관은 에버랜드가 한눈에 내려다보이는 알프스 스타일의 산장으로 온돌룸/ 주니어스위트/ 프리미어스위트 등 다양한 호텔형 객실로 꾸며져 있다. 특히 신관은 객실에서 에버랜드 장미원이 한 눈에 내려다보이며/ 불꽃놀이를 직관할 수 있어 가장 인기가 많다.",지상 6층/ 지하 1층,nan,83실,본관/ 신관,있음(홈브리지 전용 주차장),불가,15:00,익일 11:00,031-320-5000,"<a href=""http://www.everland.com/web/hb/main.html"" target=""_blank"" title=""새창 : 에버랜드 홈브리지 홈페이지로 이동"">http://www.everland.com/web/hb/main.html</a>",셔틀버스 운영 <br>- 운영시간 : 09:30~17:30 / 출발점 기준 매 30분(단/ 12시 출발노선은 없음) <br>- 노선 :  에버랜드 노선버스 정류장(1번 플랫폼 옆 출발) - 주유소 로터리 에버랜드 입구 정거장 - 호암미술관 - 캐빈호스텔 - 에버랜드 노선버스 정류장 <br>※ 호암미술 휴관일에는 호암미술관 미정차,없음(공용자가취사장 또는 에버랜드 내 식음료장 이용)
모텔라마다,041-557-5511,충청남도 천안시 동남구 목천읍 동평3길 71,라마다는 충청남도 천안시에 위치해 있으며 주변 관광지로는 만드레 도자기 체험장/ 독립기념관 청소년 야영장/ 독립기념관/ 고령박씨 종중재실/ 국립중앙청소년수련원/ 우정힐스/ 천안 용연청소년야영장/ 박문수 묘/ 병천장(1/6일)/ 천안 병천순대 거리/ 천안시 아우내문화원/ 천안삼거리등이 있다.,nan,60명,30실,일반실/ 특실,주차 가능,불가,14:00,12:00,041-557-5511,nan,nan,nan
